company_rating,model_rating,product,bought_at,months_used,issues_rating,resale_value,output
2,5,10,11892,3,5,5586,0
3,2,6,19421,6,3,6138,0
2,3,6,6362,0,3,4205,1
2,3,6,7157,8,2.5,3348,1
4,3,12,18571,4,2,8867,1
3,3,9,13335,18,2.5,4250,1
3,2,6,13392,22,0,3799,0
4,3.5,14,17389,12,3,10460,1
3,3,9,13095,8,1,8212,1
2,2,4,9163,17,3.5,2739,0
5,2,10,34796,10,2,16911,0
2,2,4,11727,15,3,4948,1
5,4,20,32038,2,2,23228,1
3,2,6,13555,17,0,4321,1
3,3,9,17623,26,1,3659,1
3,4,12,13412,2,0,6255,0
4,3.5,14,19439,7,2,10393,0
2,5,10,8233,6,3.5,3551,0
4,3,12,16513,11,1,8203,0
3,2,6,19032,17,0,5389,0
3,2,6,29662,29,2,1336,0
2,3,6,10016,3,1,6872,1
4,3,12,18820,16,2,10034,1
2,2,4,9060,10,5,3279,1
3,4,12,12133,3,2.5,5923,0
2,2,4,11831,7,0,8172,1
3,3,9,26883,27,1,4312,0
5,3.5,17.5,20267,18,1,7497,0
3,4,12,22689,13,0,10989,0
3,5,15,19194,2,3,13544,1
2,2,4,9149,4,3,5469,1
4,3.5,14,21153,18,0,11177,1
3,4,12,13528,14,0,5743,1
2,5,10,11554,10,2.5,5402,0
3,4,12,13302,20,2.5,4540,1
5,3.5,17.5,54366,25,2,13627,0
4,3,12,19502,8,1,9254,0
2,3,6,6911,10,4.5,1847,1
5,4,20,24474,8,0,16240,1
3,3,9,11568,18,1,5217,1
3,2,6,13742,22,2.5,3722,1
4,4,16,16115,17,3,11309,1
2,2,4,10759,6,4.5,5218,1
2,3,6,8335,12,2.5,3442,1
3,2,6,11635,2,3,6430,0
4,3,12,22946,19,0,11426,1
5,3,15,20876,19,1,6621,0
3,3,9,9364,21,3,3010,1
2,5,10,7604,9,2.5,3171,1
5,5,25,15778,17,0,7708,1
5,4,20,43595,21,2,13361,0
5,3.5,17.5,16547,16,0,7445,1
4,3.5,14,18419,0,3,9721,0
2,2,4,10405,4,2.5,6387,1
5,3.5,17.5,24286,25,0,3293,0
4,3.5,14,18056,2,2.5,9314,0
5,2,10,34996,22,2,8315,0
4,3.5,14,17432,2,1,8731,0
3,2,6,12257,15,3,3733,1
3,2,6,12178,22,0,3677,1
3,3,9,15661,7,4,6813,0
4,3.5,14,17290,11,2,9868,1
2,3,6,7699,5,4.5,3295,0
5,4,20,35287,27,0,5664,0
2,2,4,6130,3,3,3546,1
4,3.5,14,20574,5,0,9918,0
3,4,12,13688,18,3,4744,1
5,4,20,50562,28,0,9891,0
5,3.5,17.5,33348,17,1,12139,0
3,5,15,9766,14,3,9194,1
5,3,15,38895,2,2,24594,1
3,2,6,26020,6,2,7377,0
2,5,10,9486,6,1,5510,1
2,2,4,6863,4,0,5297,1
4,4,16,19085,14,2.5,12041,1
2,5,10,10549,8,5,3844,0
5,3.5,17.5,20171,24,1,3150,0
4,3.5,14,22772,18,0,11878,1
5,3,15,38395,2,1,23771,0
2,5,10,10587,15,2.5,3814,1
4,3.5,14,19627,7,2,10817,1
3,2,6,13656,2,2,7405,0
3,4,12,15531,24,1,6510,1
2,2,4,7240,3,3.5,4194,1
5,2,10,39147,22,1,9064,0
2,3,6,10807,10,2.5,5138,1
3,4,12,21130,24,1,6907,0
